,,昼夜間人口比率（％）,年少人口割合［15歳未満人口］（％）,老年人口割合［65歳以上人口］（％）,人口増減率（％）,粗出生率（人口千人当たり）,粗死亡率（人口千人当たり）,婚姻率（人口千人当たり）,離婚率（人口千人当たり）,高等学校数（15〜17歳人口10万人当たり）（校）,高等学校数（可住地面積100k㎡当たり）（校）,高等学校卒業者の進学率（％）,労働力人口比率［男］（％）,労働力人口比率［女］（％）,完全失業率［男］（％）,完全失業率［女］（％）,交通事故発生件数（人口10万人当たり）（件）,刑法犯認知件数（人口千人当たり）（件）,食料費割合［二人以上の世帯］（％）,住居費割合［二人以上の世帯］（％）,教育費割合［二人以上の世帯］（％）,平均貯蓄率［勤労者世帯］（％）,趣味・娯楽の平均時間［有業者・男］（時間.分）,趣味・娯楽の平均時間［無業者・男］（時間.分）,趣味・娯楽の平均時間［有業者・女］（時間.分）,趣味・娯楽の平均時間［無業者・女］（時間.分）
地域名,地域コード,2010,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2010,2010,2010,2010,2012,2011,2012,2012,2012,2012,2011,2011,2011,2011
高知県,39000,99.9,11.9,30.1,-0.79,7.00,13.49,4.33,1.87,208.4,4.05,44.7,63.9,46.7,9.8,5.2,435.6,10.56,22.6,6.9,4.2,20.0,0.42,1.11,0.23,0.38
福岡県,40000,100.1,13.5,23.3,0.12,9.01,9.63,5.50,2.07,112.3,5.94,52.5,68.0,46.4,9.2,6.2,849.1,14.46,22.4,7.4,3.9,11.9,0.41,1.24,0.23,0.45
佐賀県,41000,100.2,14.4,25.3,-0.47,8.83,11.48,4.75,1.74,159.8,3.38,41.4,71.9,50.5,7.7,4.7,1078.3,9.62,21.6,6.6,4.8,20.6,0.38,1.09,0.20,0.36
長崎県,42000,99.8,13.4,27.0,-0.64,8.33,11.92,4.50,1.74,169.3,4.83,42.8,69.0,46.5,8.0,5.0,499.4,5.99,22.8,6.7,2.7,8.3,0.36,1.25,0.20,0.43
熊本県,43000,99.6,13.7,26.5,-0.33,8.85,11.38,4.96,1.87,144.2,3.00,43.1,67.8,48.5,8.1,5.0,543.3,7.75,21.4,7.5,3.4,13.2,0.41,1.02,0.24,0.38
大分県,44000,100.0,12.9,27.6,-0.50,8.14,11.86,4.77,1.85,181.5,3.67,45.7,69.4,46.8,8.5,5.3,511.3,6.88,20.6,6.4,2.6,17.1,0.42,1.21,0.24,0.40
宮崎県,45000,100.0,13.8,26.7,-0.44,8.75,11.59,5.03,2.15,146.6,2.93,42.6,69.5,49.6,8.5,5.2,957.3,8.39,22.6,6.7,3.7,8.0,0.36,1.12,0.21,0.32
鹿児島県,46000,99.9,13.6,27.0,-0.53,8.78,12.59,4.78,1.84,166.9,2.81,40.4,68.5,47.1,8.3,5.0,565.3,6.24,20.8,7.6,5.6,13.7,0.37,1.00,0.24,0.44
沖縄県,47000,100.0,17.6,17.7,0.57,12.12,7.54,6.28,2.58,122.1,5.48,36.1,67.5,47.3,13.1,8.2,475.3,8.85,24.3,10.4,3.4,24.6,0.36,1.16,0.20,0.36

